sub_ID,Q6.consent,Q8.covid_info,Q9.covid_knowledge,Q10.rank_attention_to_news,Q13.trust_doctor_news,Q13.trust_hospital_news,Q13.trust_cdc_news,Q13.trust_government_news,Q13.trust_none_of_above,Q14.confidence_us_government,Q16.Belief_scientists_understand_covid,Q17.concerned_outbreak,Q18.likely_to_catch_covid,Q20.ability_to_protect_self,Q21.expected_symptom_severity,Q101.confidence_in_authority,Q23.risk_exaggerated,Q27.wearing_mask,Q35.take_vaccine?,Q40.age,Q41.gender,Q74.education,Q84.community,Q43.health(1.5),Q39.flu.vaccine,Q44.contact_covid,Q85.pre.exisiting_conditions,Q92.friends/family_preexisiting_conditions
135,1,A lot,A moderate amount,7,TRUE,TRUE,TRUE,TRUE,,4,6,A moderate amount,44,86,3,40,NA,sick people,unsure,20-24,f,some college,small city/town,3,FALSE,unsure,yes,yes
136,1,A moderate amount,A little,3,FALSE,FALSE,TRUE,FALSE,,5,5,A lot,75,70,3,60,somewhat disagree,sick people,unsure,25-29,f,some college,ruralArea,2,FALSE,unsure,yes,no
137,1,A lot,A lot,8,TRUE,FALSE,FALSE,TRUE,,5,10,A moderate amount,92,50,3,35,strongly disagree,sick people,definitely,20-24,f,some college,suburb,1,TRUE,no,yes,no
138,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,1,5,A little,50,70,3,50,NA,sick people,probably,30-34,f,some college,suburb,4,FALSE,unsure,no,yes
139,1,A lot,A lot,7,FALSE,FALSE,TRUE,FALSE,,8,8,A moderate amount,20,80,2,40,NA,sick people,definitely,25-29,f,4 year degree,large city,4,TRUE,no,no,no
140,1,A moderate amount,A little,3,FALSE,FALSE,FALSE,FALSE,,4,4,A moderate amount,26,60,3,35,NA,everyone,probably,20-24,f,some college,small city/town,3,Unsure,no,no,no
141,1,A moderate amount,A moderate amount,7,TRUE,TRUE,TRUE,TRUE,,4,7,A moderate amount,50,80,4,53,NA,sick people,probably,20-24,f,some college,suburb,4,TRUE,no,no,no
142,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,4,5,A moderate amount,45,50,3,20,NA,sick people,definitely,20-24,f,some college,large city,4,FALSE,yes,no,yes
143,1,A lot,A lot,10,FALSE,TRUE,TRUE,FALSE,,0,10,A lot,80,100,2,100,stronglyAgree,sick people,definitely,35-39,f,some college,large city,4,TRUE,yes,no,prefer not to say
144,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,5,7,NA,9,92,4,33,somewhat disagree,no one/no mask evidence,probably,20-24,f,2 year degree,small city/town,2,FALSE,no,no,no
145,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,0,1,A lot,2,72,3,0,somewhat disagree,sick people,definitely,20-24,f,some college,suburb,3,FALSE,no,no,yes
146,1,A lot,A little,8,FALSE,FALSE,FALSE,FALSE,,1,6,A little,40,72,2,26,strongly disagree,sick people,definitely,25-29,f,professional degree,small city/town,4,TRUE,no,no,yes
147,1,A lot,A moderate amount,8,TRUE,TRUE,TRUE,FALSE,,5,8,A little,100,0,2,0,NA,sick people,definitely,20-24,m,2 year degree,small city/town,5,FALSE,unsure,no,no
148,1,A lot,A moderate amount,7,TRUE,FALSE,TRUE,FALSE,,8,8,A moderate amount,19,81,5,86,somewhat disagree,sick people,definitely,18-19,f,highschool graduate,suburb,2,TRUE,no,yes,no
149,1,A lot,A little,4,FALSE,FALSE,TRUE,FALSE,,0,3,A little,41,39,3,57,NA,sick people,definitely,20-24,f,some college,suburb,4,FALSE,no,no,unsure
150,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,2,3,A lot,38,70,2,21,NA,sick people,probably,20-24,m,some college,small city/town,3,FALSE,no,no,yes
151,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,2,2,NA,65,80,3,10,strongly disagree,no one/no mask evidence,definitely,45-49,f,doctorate,suburb,4,TRUE,no,no,yes
152,1,A lot,A lot,8,FALSE,FALSE,FALSE,TRUE,,7,6,A lot,21,16,NA,68,stronglyAgree,no one/no mask evidence,probably_not,20-24,f,highschool graduate,large city,3,TRUE,yes,no,no
153,1,A moderate amount,A little,8,FALSE,FALSE,TRUE,FALSE,,2,7,NA,70,40,3,20,somewhat disagree,everyone,probably,50-54,m,doctorate,large city,5,TRUE,unsure,no,yes
154,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,,2,6,A moderate amount,86,60,2,8,strongly disagree,sick people,definitely,40-44,f,doctorate,small city/town,4,TRUE,no,no,yes
155,1,A lot,A little,5,FALSE,FALSE,FALSE,FALSE,,1,4,A moderate amount,50,30,2,40,stronglyAgree,sick people,probably_not,25-29,f,4 year degree,suburb,2,FALSE,no,no,unsure
156,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,6,7,NA,30,90,3,60,NA,sick people,probably,18-19,f,some college,suburb,4,TRUE,no,no,no
157,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,TRUE,,8,5,A lot,57,50,3,12,strongly disagree,sick people,definitely,20-24,f,4 year degree,suburb,3,TRUE,no,no,yes
158,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,,1,7,A little,100,50,2,50,strongly disagree,sick people,definitely,35-39,m,doctorate,suburb,4,TRUE,yes,no,yes
159,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,1,7,A moderate amount,50,77,2,82,NA,sick people,definitely,35-39,m,highschool graduate,small city/town,4,TRUE,no,no,no
160,1,A moderate amount,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,8,5,A moderate amount,5,90,2,65,stronglyAgree,sick people,probably,20-24,m,highschool graduate,small city/town,4,FALSE,unsure,no,yes
161,1,A little,A little,5,TRUE,TRUE,TRUE,TRUE,,5,5,NotAtAll,50,73,3,69,NA,healthy people,definitely,20-24,f,some college,suburb,2,FALSE,no,no,yes
162,1,A lot,A little,6,FALSE,FALSE,TRUE,TRUE,,6,4,A moderate amount,100,5,3,11,stronglyAgree,everyone,probably,18-19,NA,some college,ruralArea,5,TRUE,unsure,no,no
163,1,A moderate amount,A little,5,FALSE,FALSE,TRUE,FALSE,,0,6,A little,11,74,2,11,somewhat disagree,sick people,probably,18-19,f,some college,suburb,3,TRUE,no,no,yes
164,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,7,7,A little,10,80,3,80,NA,no one/no mask evidence,probably,20-24,f,some college,suburb,4,TRUE,no,no,no
165,1,A moderate amount,A little,4,FALSE,FALSE,TRUE,TRUE,,3,2,A moderate amount,10,9,3,5,NA,sick people,unsure,20-24,f,highschool graduate,suburb,3,FALSE,no,no,no
166,1,A lot,A moderate amount,7,TRUE,TRUE,TRUE,FALSE,,6,7,A moderate amount,50,91,3,40,NA,sick people,definitely,18-19,f,some college,small city/town,4,TRUE,no,no,yes
167,1,A little,A lot,8,TRUE,FALSE,TRUE,FALSE,,0,5,A little,60,60,3,20,NA,sick people,definitely,55-59,m,doctorate,suburb,5,TRUE,no,no,yes
168,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,TRUE,,5,4,A lot,2,80,1,50,NA,sick people,probably,20-24,f,2 year degree,small city/town,4,TRUE,no,no,no
169,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,Scientific researchArticles,5,6,NA,51,61,3,60,somewhat disagree,sick people,probably,25-29,m,some college,suburb,3,FALSE,no,no,prefer not to say
170,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NotAtAll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,1,A lot,A moderate amount,10,TRUE,TRUE,TRUE,TRUE,,10,9,A moderate amount,93,81,5,92,strongly disagree,sick people,definitely,20-24,f,4 year degree,suburb,3,TRUE,unsure,yes,yes
172,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,7,9,A moderate amount,47,97,3,70,NA,sick people,definitely,25-29,f,highschool graduate,large city,2,TRUE,no,no,no
173,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,10,5,A moderate amount,1,95,2,19,somewhat disagree,sick people,probably,35-39,f,doctorate,suburb,4,FALSE,no,no,no
174,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,5,9,A little,55,55,3,61,somewhat disagree,sick people,definitely,35-39,m,doctorate,large city,3,TRUE,unsure,no,yes
175,1,A little,A little,1,FALSE,FALSE,TRUE,TRUE,,3,5,A moderate amount,15,15,2,40,NA,everyone,probably,20-24,m,4 year degree,small city/town,5,FALSE,no,no,no
176,1,A lot,A little,7,TRUE,TRUE,TRUE,FALSE,,2,7,NA,60,80,3,45,NA,sick people,definitely,18-19,f,some college,large city,4,TRUE,unsure,no,yes
177,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,5,6,NA,60,90,3,40,strongly disagree,sick people,definitely,40-44,f,doctorate,small city/town,2,FALSE,no,no,yes
179,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,Local government in general,6,9,A moderate amount,71,73,3,67,strongly disagree,sick people,definitely,50-54,f,doctorate,large city,5,FALSE,unsure,no,yes
181,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,7,8,A moderate amount,69,58,3,36,strongly disagree,sick people,definitely,30-34,f,professional degree,small city/town,3,TRUE,no,no,yes
182,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,4,6,A lot,40,71,2,50,strongly disagree,sick people,probably,25-29,m,doctorate,small city/town,4,FALSE,no,no,yes
183,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,3,2,A lot,40,60,3,10,strongly disagree,sick people,definitely,20-24,f,some college,suburb,4,TRUE,no,no,yes
184,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,1,5,NA,46,69,3,4,NA,sick people,definitely,30-34,nb,4 year degree,small city/town,5,TRUE,no,no,unsure
185,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,0,7,NA,95,74,3,50,strongly disagree,sick people,definitely,55-59,f,doctorate,suburb,4,TRUE,no,yes,yes
186,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,0,5,A lot,80,100,4,0,strongly disagree,sick people,definitely,40-44,f,professional degree,ruralArea,3,TRUE,no,yes,no
188,1,A lot,A moderate amount,6,FALSE,FALSE,FALSE,FALSE,,3,5,A moderate amount,70,70,3,30,strongly disagree,sick people,definitely,25-29,f,professional degree,ruralArea,3,TRUE,unsure,yes,yes
189,1,A moderate amount,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,2,5,A lot,90,71,3,48,strongly disagree,sick people,definitely,30-34,m,professional degree,small city/town,4,TRUE,no,no,yes
190,1,A lot,A lot,8,FALSE,FALSE,TRUE,FALSE,,5,7,A moderate amount,98,99,3,85,strongly disagree,sick people,definitely,40-44,f,professional degree,large city,3,TRUE,unsure,yes,yes
191,1,A moderate amount,A moderate amount,7,TRUE,FALSE,TRUE,FALSE,,8,5,A lot,50,57,4,50,NA,sick people,definitely,50-54,NA,professional degree,suburb,2,TRUE,unsure,yes,yes
192,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,7,7,A little,0,100,1,50,strongly disagree,sick people,unsure,45-49,f,4 year degree,suburb,5,FALSE,unsure,no,yes
193,1,A lot,A little,5,FALSE,FALSE,FALSE,FALSE,,1,6,A little,61,60,2,81,stronglyAgree,sick people,definitely not,25-29,f,4 year degree,small city/town,3,FALSE,yes,no,unsure
194,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,2,7,A moderate amount,28,61,4,39,somewhat disagree,sick people,probably,35-39,f,professional degree,small city/town,4,FALSE,unsure,no,yes
195,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,not to sure,2,5,A lot,75,50,3,13,NA,sick people,probably,35-39,m,some college,small city/town,3,FALSE,no,no,no
196,1,A lot,A moderate amount,10,TRUE,FALSE,TRUE,FALSE,,5,6,NotAtAll,80,65,2,50,somewhat disagree,sick people,probably,30-34,f,doctorate,large city,3,TRUE,no,no,yes
197,1,A lot,A little,4,FALSE,FALSE,FALSE,FALSE,,4,7,A little,30,70,4,80,NA,everyone,probably_not,25-29,m,professional degree,suburb,3,FALSE,unsure,no,unsure
198,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,5,9,A lot,0,100,2,80,NA,everyone,probably,25-29,f,4 year degree,suburb,4,FALSE,no,no,no
199,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,3,7,A moderate amount,30,65,3,55,strongly disagree,sick people,definitely,20-24,f,professional degree,large city,3,TRUE,no,no,yes
200,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,7,5,A lot,51,66,3,35,NA,sick people,definitely,25-29,f,professional degree,small city/town,5,TRUE,no,no,yes
201,1,A lot,A little,3,FALSE,FALSE,FALSE,FALSE,,0,4,A little,60,29,3,9,NA,sick people,probably_not,70-74,f,4 year degree,suburb,2,FALSE,no,yes,yes
202,1,A lot,A little,8,FALSE,FALSE,FALSE,FALSE,,5,7,A moderate amount,50,100,3,90,strongly disagree,sick people,probably,35-39,f,professional degree,suburb,5,TRUE,unsure,no,yes
203,1,A moderate amount,A little,4,TRUE,FALSE,TRUE,FALSE,,0,4,A little,30,80,3,20,somewhat disagree,everyone,definitely,20-24,f,professional degree,small city/town,4,TRUE,no,no,yes
204,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,3,4,A moderate amount,60,71,2,66,somewhat disagree,sick people,definitely,18-19,f,some college,small city/town,3,TRUE,yes,no,unsure
205,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,5,6,A lot,18,62,3,40,NA,sick people,unsure,20-24,f,some college,small city/town,3,TRUE,no,no,no
206,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,1,7,NA,40,81,3,50,somewhat disagree,sick people,definitely,40-44,m,professional degree,large city,4,TRUE,no,yes,yes
207,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,7,9,A moderate amount,76,86,3,35,strongly disagree,sick people,definitely,18-19,m,some college,large city,4,TRUE,no,yes,yes
208,1,A moderate amount,A little,7,FALSE,FALSE,TRUE,FALSE,,5,7,A lot,18,50,4,72,NA,sick people,probably,25-29,m,4 year degree,large city,5,FALSE,no,no,no
209,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,6,8,A moderate amount,58,63,2,79,somewhat disagree,sick people,probably,30-34,f,4 year degree,large city,3,FALSE,no,no,yes
210,1,A lot,A moderate amount,10,FALSE,FALSE,FALSE,FALSE,,4,4,A lot,60,49,2,50,somewhat disagree,sick people,probably,50-54,f,doctorate,small city/town,5,FALSE,no,no,no
211,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,2,5,A little,60,61,3,30,strongly disagree,sick people,probably,45-49,f,doctorate,small city/town,4,FALSE,yes,yes,yes
212,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,5,6,A moderate amount,60,90,2,50,NA,sick people,definitely,20-24,f,2 year degree,small city/town,5,FALSE,no,no,yes
213,1,A moderate amount,A little,2,FALSE,FALSE,TRUE,FALSE,,5,4,A moderate amount,8,98,2,68,somewhat disagree,sick people,definitely,18-19,m,some college,large city,4,TRUE,yes,no,no
214,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,4,7,A lot,59,82,2,57,NA,sick people,definitely,30-34,m,doctorate,large city,5,FALSE,no,no,yes
215,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,2,8,A lot,51,84,3,41,somewhat disagree,sick people,definitely,55-59,m,2 year degree,small city/town,3,TRUE,no,no,no
216,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,"State Government Websites, local university website",5,8,A moderate amount,65,30,2,77,somewhat disagree,sick people,definitely,30-34,f,doctorate,small city/town,4,FALSE,no,no,yes
217,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,5,7,A lot,85,95,2,20,somewhat disagree,sick people,unsure,45-49,f,professional degree,suburb,3,FALSE,no,yes,yes
218,1,A lot,A moderate amount,9,TRUE,TRUE,TRUE,FALSE,,0,4,A moderate amount,85,55,3,16,strongly disagree,sick people,probably,30-34,m,doctorate,large city,3,FALSE,unsure,unsure,unsure
219,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,9,7,A little,50,81,5,91,NA,sick people,definitely,60-64,f,4 year degree,large city,2,TRUE,no,yes,yes
220,1,A lot,A moderate amount,8,TRUE,FALSE,FALSE,FALSE,,6,1,A little,10,95,2,5,stronglyAgree,sick people,probably,60-64,m,some college,suburb,4,FALSE,no,no,no
221,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,3,5,A little,20,50,3,60,stronglyAgree,sick people,probably,30-34,f,professional degree,suburb,4,FALSE,no,no,yes
222,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,0,6,A moderate amount,50,90,3,50,strongly disagree,sick people,definitely,35-39,f,4 year degree,small city/town,4,TRUE,no,no,yes
223,1,A lot,A lot,9,FALSE,FALSE,FALSE,FALSE,,2,7,NotAtAll,66,75,3,20,strongly disagree,sick people,definitely,30-34,m,professional degree,suburb,4,TRUE,no,no,unsure
224,1,A moderate amount,A little,2,FALSE,FALSE,TRUE,FALSE,,3,3,A moderate amount,50,70,3,67,NA,sick people,unsure,20-24,m,4 year degree,suburb,5,FALSE,no,no,no
225,1,A lot,A moderate amount,6,FALSE,FALSE,FALSE,FALSE,,7,6,NA,65,50,4,50,somewhat disagree,sick people,definitely,20-24,m,some college,small city/town,3,FALSE,yes,no,yes
226,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,2,7,NA,65,80,3,20,strongly disagree,sick people,definitely,25-29,m,doctorate,large city,4,TRUE,unsure,no,yes
227,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,1,A lot,A little,10,FALSE,FALSE,TRUE,FALSE,,0,8,NA,30,100,3,34,strongly disagree,sick people,definitely,25-29,m,doctorate,large city,5,FALSE,no,yes,no
229,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,1,5,A little,25,60,2,40,strongly disagree,sick people,definitely,25-29,f,4 year degree,large city,4,FALSE,unsure,no,yes
231,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,5,8,A lot,75,33,2,37,strongly disagree,sick people,definitely,20-24,f,some college,small city/town,5,TRUE,no,no,yes
232,1,A lot,A moderate amount,9,FALSE,FALSE,FALSE,FALSE,,2,3,A moderate amount,75,80,2,10,strongly disagree,sick people,probably,35-39,m,doctorate,suburb,5,TRUE,unsure,no,yes
233,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,5,8,NotAtAll,35,86,2,38,NA,sick people,definitely,20-24,f,4 year degree,ruralArea,4,FALSE,no,no,yes
234,1,A moderate amount,A little,3,FALSE,FALSE,FALSE,FALSE,,4,3,A lot,5,92,2,11,stronglyAgree,sick people,probably_not,25-29,f,2 year degree,suburb,3,FALSE,no,yes,yes
235,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,5,6,A lot,70,74,3,50,strongly disagree,sick people,probably,30-34,f,4 year degree,small city/town,3,FALSE,no,no,unsure
236,1,A lot,A little,10,FALSE,FALSE,FALSE,FALSE,,5,5,A lot,73,68,6,85,NA,NA,probably,20-24,f,some college,small city/town,2,TRUE,no,no,no
237,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,6,5,A little,17,100,3,50,NA,sick people,unsure,18-19,f,highschool graduate,large city,4,TRUE,unsure,no,no
238,1,A moderate amount,A moderate amount,5,FALSE,FALSE,FALSE,FALSE,,5,5,A moderate amount,50,70,3,60,NA,sick people,unsure,18-19,f,some college,suburb,3,FALSE,unsure,no,yes
239,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,5,5,NotAtAll,30,95,2,85,NA,sick people,probably,18-19,f,less than highschool,suburb,3,FALSE,unsure,no,no
240,1,A lot,A lot,9,FALSE,FALSE,TRUE,FALSE,,5,6,A lot,51,76,1,42,stronglyAgree,everyone,definitely,18-19,m,highschool graduate,suburb,4,TRUE,no,no,yes
241,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,4,9,A moderate amount,48,84,4,51,somewhat disagree,sick people,definitely,18-19,f,2 year degree,large city,2,FALSE,no,no,no
242,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,4,6,A lot,70,88,4,100,NA,sick people,definitely,18-19,m,highschool graduate,suburb,2,TRUE,no,no,no
243,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,3,7,A lot,69,89,5,18,strongly disagree,sick people,definitely,25-29,f,doctorate,small city/town,2,TRUE,no,yes,yes
244,1,A moderate amount,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,1,9,A moderate amount,52,86,4,42,strongly disagree,sick people,definitely,60-64,f,some college,suburb,2,TRUE,no,yes,yes
245,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,2,7,A little,22,73,4,21,somewhat disagree,sick people,probably,25-29,f,professional degree,suburb,3,FALSE,no,no,yes
246,1,A moderate amount,A little,6,FALSE,FALSE,TRUE,FALSE,,5,6,A lot,50,80,2,75,NA,sick people,definitely,25-29,f,doctorate,ruralArea,3,TRUE,no,no,yes
247,1,A moderate amount,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,2,6,A moderate amount,35,67,3,31,strongly disagree,sick people,definitely,35-39,f,doctorate,suburb,4,TRUE,no,no,no
248,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,1,3,A moderate amount,20,80,3,6,NA,sick people,definitely not,45-49,f,4 year degree,suburb,3,FALSE,unsure,yes,yes
249,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,3,7,A moderate amount,70,40,2,5,somewhat disagree,sick people,definitely,35-39,f,doctorate,suburb,5,TRUE,no,no,no
250,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,3,8,A moderate amount,21,95,2,40,strongly disagree,sick people,definitely,60-64,f,doctorate,ruralArea,5,TRUE,no,no,no
251,1,A lot,A little,7,FALSE,FALSE,TRUE,FALSE,,2,5,A lot,65,50,3,0,strongly disagree,sick people,probably,25-29,f,4 year degree,small city/town,2,TRUE,no,yes,no
252,1,A lot,A lot,8,TRUE,FALSE,TRUE,FALSE,jhu website,1,5,A little,51,70,2,15,strongly disagree,sick people,definitely,35-39,f,doctorate,small city/town,3,TRUE,no,yes,yes
253,1,A little,A little,2,FALSE,FALSE,TRUE,FALSE,,NA,8,A moderate amount,9,21,2,29,stronglyAgree,no one/no mask evidence,unsure,50-54,m,doctorate,suburb,4,TRUE,unsure,no,no
254,1,A lot,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,,2,6,A moderate amount,30,100,2,50,somewhat disagree,sick people,probably_not,25-29,f,4 year degree,suburb,4,FALSE,no,no,no
255,1,A little,A little,3,FALSE,FALSE,TRUE,FALSE,,7,8,A lot,NA,86,2,88,NA,no one/no mask evidence,definitely,40-44,f,doctorate,small city/town,3,TRUE,no,yes,no
256,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,5,5,A lot,50,50,2,43,strongly disagree,sick people,definitely,20-24,f,some college,suburb,3,FALSE,no,no,yes
257,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,7,8,A lot,50,80,5,70,NA,sick people,unsure,35-39,f,doctorate,suburb,4,FALSE,unsure,yes,no
258,1,A lot,A lot,8,FALSE,FALSE,TRUE,FALSE,,10,8,A little,75,100,3,65,somewhat disagree,sick people,definitely,20-24,m,some college,suburb,4,TRUE,no,no,yes
259,1,A lot,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,4,3,A lot,76,80,2,29,NA,sick people,probably,18-19,f,2 year degree,ruralArea,3,FALSE,yes,no,yes
260,1,A lot,A moderate amount,9,FALSE,FALSE,FALSE,FALSE,,2,9,A moderate amount,70,70,3,10,stronglyAgree,sick people,definitely,55-59,f,doctorate,suburb,4,TRUE,no,no,yes
261,1,A moderate amount,A little,5,TRUE,FALSE,TRUE,FALSE,,4,7,A lot,8,61,3,40,NA,everyone,probably,20-24,f,some college,suburb,2,TRUE,no,no,no
262,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,4,7,NA,81,70,3,40,strongly disagree,sick people,definitely,30-34,m,doctorate,small city/town,4,TRUE,yes,no,yes
263,1,A lot,A moderate amount,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,sick people,definitely,NA,NA,doctorate,large city,NA,TRUE,NA,NA,NA
264,1,A lot,A little,7,TRUE,TRUE,FALSE,FALSE,,0,6,A moderate amount,33,70,3,41,strongly disagree,sick people,probably,20-24,f,4 year degree,suburb,3,TRUE,unsure,no,no
265,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,2,4,NA,49,43,3,31,strongly disagree,sick people,definitely,20-24,f,some college,small city/town,4,TRUE,no,yes,yes
266,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,4,6,A little,35,90,2,50,strongly disagree,sick people,definitely,20-24,f,professional degree,large city,5,TRUE,no,no,yes
267,1,A lot,A moderate amount,7,TRUE,FALSE,TRUE,FALSE,,5,8,A moderate amount,10,85,3,67,NA,sick people,definitely,20-24,f,some college,suburb,4,TRUE,no,no,yes
268,1,A little,A little,2,FALSE,FALSE,TRUE,FALSE,,5,8,A lot,80,50,2,30,NA,sick people,probably,20-24,f,some college,small city/town,3,TRUE,no,no,yes
269,1,A lot,A lot,8,TRUE,TRUE,TRUE,FALSE,,1,3,A moderate amount,75,88,3,30,strongly disagree,sick people,definitely,20-24,f,some college,suburb,4,TRUE,unsure,yes,yes
270,1,A lot,A moderate amount,9,FALSE,FALSE,FALSE,FALSE,,7,8,A moderate amount,40,100,2,31,NA,sick people,definitely,55-59,f,doctorate,suburb,4,TRUE,no,no,yes
271,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,4,2,A little,90,70,2,10,somewhat disagree,sick people,definitely,18-19,f,some college,suburb,4,TRUE,no,no,yes
272,1,A lot,A moderate amount,5,TRUE,FALSE,FALSE,FALSE,My mother isAn infectious diseases specialist,1,8,A lot,9,82,3,40,NA,sick people,definitely,55-59,f,doctorate,suburb,5,TRUE,no,no,yes
273,1,A lot,A moderate amount,6,FALSE,FALSE,FALSE,FALSE,,2,6,A lot,10,94,2,40,strongly disagree,sick people,definitely,20-24,f,some college,suburb,3,TRUE,no,no,no
