b,r1,r2
b12246,1.119401909,-4.134404416
b12247,3.46561795,-4.058281412
b12248,1.932058118,-3.084286031
b12249,1.883010103,-2.740744771
b12250,3.428716523,-2.606140749
b12251,2.331063012,-2.754763866
b12252,1.806947976,-4.185102059
b12253,1.448027227,-4.753648576
b12254,2.367296035,-2.629803444
b12255,2.656247438,-5.201192761
b12256,3.932687818,-2.889603504
b12257,3.468623372,-2.761771226
b12258,4.41139327,-3.392698763
b12259,2.411723883,-0.410054475
b12260,1.405535976,-3.657149386
b12261,3.167098323,-3.197880646
b12262,1.805777693,-1.908164633
b12263,0.624518606,-1.649629456
b12264,2.29848913,-3.722009
b12265,4.696050871,-2.903121474
b12266,3.226098706,-3.1627698
b12267,2.307637138,-4.574074054
b12268,1.760723989,-2.813052649
b12269,3.280466739,-2.079088491
b12270,2.512611775,-2.242173042
b12271,3.300454396,-1.771108501
b12272,3.240082512,-2.248831425
b12273,4.731819374,-4.727541957
b12274,0.516258112,-2.408529423
b12275,3.419058967,-2.451677815
b12276,3.426392097,-3.492371463
b12277,2.760306281,-2.795497679
b12278,3.119170317,-4.174134494
b12279,3.239585957,-2.554751792
b12280,3.743916741,-3.364933011
b12281,4.333944542,-0.869141613
b12282,3.142831615,-3.509760267
b12283,1.428085973,-2.543531249
b12284,3.083483159,-2.706694275
b12285,5.29517503,-3.176135825
b12286,3.675345323,-4.724200459
b12287,3.091444276,-2.198093861
b12288,3.558678751,-4.252421495
b12289,1.30673547,-1.291691445
b12290,3.363739278,-2.044092879
b12291,3.939763202,-3.554274461
b12292,1.10248472,-2.683803164
b12293,2.375896904,-1.938368533
b12294,3.339975118,-2.925315854
b12295,2.340485393,-2.943156019
b12296,1.978860479,-3.291179199
b12297,2.412549954,-1.705511019
b12298,3.808751913,-1.836058933
b12299,3.209663359,-3.429848912
b12300,1.601739379,-3.936985913
b12301,2.710059699,-3.175163526
b12302,3.758255562,-4.327306412
b12303,3.12830734,-3.2966029
b12304,2.888610763,-2.812385589
b12305,4.176146895,-5.050404675
b12306,2.888580863,-2.190447497
b12307,2.098972225,-3.044013031
b12308,1.247707318,-2.482856979
b12309,1.952945368,-2.204258255
b12310,2.193750481,-2.771901507
b12311,2.587724807,-1.722499203
b12312,3.419854568,-2.320932798
b12313,2.829743187,-2.813503219
b12314,2.829322655,-3.097132892
b12315,4.112758355,-2.644125362
b12316,2.662261881,-3.471168219
b12317,2.77851799,-4.376557239
b12318,2.279715471,-2.391639533
b12319,1.716231412,-0.923238124
b12320,2.747419836,-2.675354325
b12321,3.631104487,-4.384373593
b12322,2.359179547,-3.750533868
b12323,2.704529545,-3.852610352
b12324,1.470196335,-2.049879544
b12325,4.61890128,-3.633191186
b12326,2.48574887,-1.085634111
b12327,2.970513002,-3.033085571
b12328,5.702217963,-2.834468733
b12329,0.688647709,-2.221177429
b12330,2.428605873,-3.846210759
b12331,2.951875157,-2.047092222
b12332,3.137388392,-2.542839301
b12333,2.438781627,-3.816319268
b12334,2.748502497,-3.194957086
b12335,2.092157206,-3.111692443
b12336,4.009595878,-3.699124574
b12337,2.365609743,-2.738648647
b12338,1.51906231,-2.576766742
b12339,4.07105543,-2.472333247
b12340,2.069163608,-2.856346022
b12341,2.670277758,-2.906394237
b12342,2.273336215,-2.177970182
b12343,2.071775155,-3.548177396
b12344,2.130251073,-2.759527555
b12345,4.068133766,-1.1285599
b12346,3.332953196,-2.632569123
b12347,3.149719398,-2.192310268
b12348,3.10308751,-3.396532407
b12349,1.918508883,-3.456067378
b12350,2.739624928,-3.115515753
b12351,1.796896105,-2.991431197
b12352,3.802511603,-1.361023763
b12353,4.071104859,-3.703554486
b12354,2.38974588,-2.686398618
b12355,3.034223335,-3.403133528
b12356,4.269514949,-4.410285555
b12357,2.651011188,-3.828641256
b12358,2.385481961,-1.778954409
b12359,1.931127332,-1.185300644
b12360,2.542185965,-3.76988924
b12361,1.942454721,-2.160559273
b12362,2.227589812,-1.198947531
b12363,1.714602346,-0.927849796
b12364,2.57828125,-1.911090368
b12365,4.771458677,-1.617236982
b12366,3.113073775,-2.891463793
b12367,4.08984438,-1.374998831
b12368,2.288002766,-4.066463322
b12369,4.128161345,-0.951759925
b12370,3.442727856,-4.960951942
b12371,1.242768341,-2.034682628
b12372,1.184300884,-3.344118339
b12373,2.970316352,-2.600214337
b12374,0.166681469,-3.602046929
b12375,3.197514351,-3.503911989
b12376,4.091266704,-3.927434078
b12377,2.664537394,-3.680157811
b12378,4.277781672,-3.192665737
b12379,3.346121524,-3.980980803
b12380,3.456859768,-4.543790579
b12381,4.014617939,-3.324407179
b12382,2.946073461,-3.053500833
b12383,2.392802791,-2.494084158
b12384,3.707180715,-1.771233791
b12385,2.025217299,-4.048602017
b12386,1.258017845,-2.409565144
b12387,3.801075253,-2.746936097
b12388,1.862389948,-1.884214642
b12389,4.52547356,-3.367050597
b12390,1.813834217,-3.859697357
b12391,4.348440154,-5.040767775
b12392,4.365324893,-4.862346329
b12393,1.695288751,-2.876079072
b12394,2.239326348,-0.546069558
b12395,2.981826589,-0.423377179
b12396,3.314066364,-2.046559706
b12397,4.234387098,-2.330643919
b12398,2.501210946,-2.800761098
b12399,1.332986893,-2.231103676
b12400,4.335716534,-2.414127879
b12401,2.024615206,-4.047029043
b12402,2.7642191,-4.793523668
b12403,3.034741326,-4.037409989
b12404,1.949224885,-3.852180566
b12405,3.905016941,-1.927971137
b12406,2.652086175,-3.013527436
b12407,3.200435201,-1.724277144
b12408,1.92377069,-2.916840181
b12409,2.916046925,-3.027102025
b12410,3.312064234,-1.418943379
b12411,2.107330593,-4.900829937
b12412,2.691130972,-3.637149116
b12413,-0.080876158,-2.919574789
b12414,2.220270799,-2.624861246
b12415,3.80080925,-4.65363305
b12416,2.015847358,-2.852707436
b12417,3.092152551,-4.717088959
b12418,2.385545032,-2.270522193
b12419,2.714583153,-0.755417632
b12420,1.831585451,-3.106642647
b12421,2.675849328,-2.557184471
b12422,3.720554421,-1.91305076
b12423,2.415248097,-3.109082791
b12424,4.28136892,-3.089432308
b12425,1.186748112,-2.38097372
b12426,4.420374863,-0.86650684
b12427,2.475179813,-1.634414528
b12428,0.056963826,-1.788105774
b12429,2.83594669,-3.079860734
b12430,3.134338776,-3.298290409
b12431,1.543398515,-2.493332233
b12432,2.192041342,-2.885235671
b12433,3.522893775,-2.940455252
b12434,2.626918459,-1.907991999
b12435,3.049667788,-5.094943824
b12436,1.548417935,-3.854724565
b12437,2.708143838,-4.169925467
b12438,2.395787695,-2.525700533
b12439,1.976906549,-3.697877794
b12440,1.821794644,-1.051307096
b12441,1.682806542,-1.321361409
b12442,2.116600104,-3.478945863
b12443,2.667096643,-2.100996998
b12444,3.057134161,-2.859446092
b12445,2.579792661,-1.723100127
b12446,2.223696942,-3.297842746
b12447,4.216147967,-3.543028198
b12448,2.667199535,-2.0822005
b12449,3.723264644,-2.748516554
b12450,3.207240501,-3.40415306
b12451,2.324832831,-2.843124074
b12452,3.806594951,-5.12048476
b12453,0.089570721,-1.638323548
b12454,3.004570197,-1.254431137
b12455,3.406935847,-3.541399783
b12456,2.090447622,-2.102125624
b12457,2.923404093,-4.648795869
b12458,3.42847511,-2.403886747
b12459,1.545836799,-1.772486346
b12460,2.13007724,-3.51186915
b12461,4.323587482,-2.340504395
b12462,2.332136642,-1.875001017
b12463,4.301347447,-2.071032827
b12464,2.421794563,-1.83602757
b12465,5.896771941,-1.941517161
b12466,3.910293633,-2.971412357
b12467,2.470919055,-2.90429471
b12468,4.532481433,-1.883309082
b12469,4.75190068,-2.402325826
b12470,2.615937737,-4.098834666
b12471,2.762928527,-2.972098958
b12472,3.203961675,-3.671118931
b12473,2.943883904,-2.940934611
b12474,3.484115443,-1.698882259
b12475,3.933251124,-2.268856624
b12476,2.955034413,-0.836749512
b12477,1.320998287,-4.154826654
b12478,1.795676746,-2.367876517
b12479,3.00353284,-2.041203465
b12480,3.886433421,-4.282465539
b12481,2.747576702,-3.383013968
b12482,3.390192141,-3.063676283
b12483,2.444035414,-3.630752153
b12484,4.370756647,-0.325294893
b12485,3.454253853,-3.411560077
b12486,2.971403305,-3.250777432
b12487,2.569556591,-2.177585617
b12488,1.797641351,-1.504074514
b12489,2.89301139,-2.833395148
b12490,1.836679137,-2.491591556
b12491,1.334437723,-3.652930971
b12492,2.748542629,-2.550340587
b12493,2.48051402,-3.140570915
b12494,4.831889876,-2.413760959
b12495,2.619396868,-2.433865635
b12496,3.101126523,-4.460615121
b12497,1.661864591,-1.037470811
b12498,3.695121849,-1.706138726
b12499,3.208284374,-1.173749668
b12500,3.997685,-3.617566143
b12501,3.395455601,-3.06422787
b12502,2.261480555,-2.763769225
b12503,2.374432573,-3.432567383
b12504,1.401418134,-3.207141954
b12505,3.608861765,-4.346064192
b12506,3.606470919,-2.568847546
b12507,2.315435491,-2.442475051
b12508,1.973083585,-3.65573715
b12509,2.979577149,-2.564715381
b12510,4.375104956,-2.081647731
b12511,2.917038761,-1.559790616
b12512,1.40497077,-2.746927082
b12513,0.953292244,-3.538921159
b12514,3.515448687,-3.713276562
b12515,3.929665056,-1.452470313
b12516,3.732130069,-3.781886953
b12517,2.094170854,-3.659754684
b12518,3.16766491,-1.665266801
b12519,3.290201975,-1.215626857
b12520,0.520032045,-3.860646327
b12521,2.154375535,-2.466139371
b12522,3.124720548,-3.888843781
b12523,2.31445655,-1.036987389
b12524,2.288386057,-2.864450445
b12525,1.210213524,-3.519083082
b12526,3.129043997,-2.784368602
b12527,2.055877135,-2.059754124
b12528,2.945980402,-2.505553822
b12529,2.449183885,-2.208133975
b12530,2.255553778,-2.750800008
b12531,3.904008541,-3.208174572
b12532,2.481897217,-1.31102848
b12533,3.874397437,-3.403029313
b12534,3.325007647,-4.306244343
b12535,4.65620053,-3.357019075
b12536,2.509094809,-2.218168077
b12537,3.302382049,-1.53445514
b12538,2.744841378,-3.523210841
b12539,2.908077788,-2.086157622
b12540,3.638916879,-3.225050486
b12541,2.158826463,-3.432400592
b12542,2.596412607,-2.554050561
b12543,3.194063226,-3.719110572
b12544,4.073460589,-3.883615777
b12545,2.164782798,-2.885899688
b12546,2.856216593,-3.330408359
b12547,2.343367717,-1.24028436
b12548,3.600244529,-4.254887781
b12549,2.004495538,-5.718388181
b12550,3.302776057,-1.79955116
b12551,0.868555638,-3.866529736
b12552,3.905081185,-3.757857709
b12553,2.959324991,-2.734078661
b12554,2.707679903,-2.329932677
b12555,2.23067614,-2.225199069
b12556,2.723886279,-2.51462176
b12557,3.30203971,-4.397843873
b12558,3.575965324,-2.358376733
b12559,3.204113514,-2.97239505
b12560,1.267843656,-1.268377709
b12561,1.320484448,-2.598334372
b12562,3.706027878,-1.159994263
b12563,1.689847084,-4.576484817
b12564,2.461847549,-3.575893338
b12565,3.224178692,-2.005330522
b12566,1.334754656,-4.114630451
b12567,2.721173983,-3.572303468
b12568,2.835563708,-3.538914773
b12569,2.204765263,-3.031225858
b12570,2.882513648,-4.845128358
b12571,1.277878113,-3.267151221
b12572,4.050900651,-1.98169578
b12573,1.918085919,-1.872337184
b12574,1.49814735,-2.347377265
b12575,2.902841969,-2.966926869
b12576,2.994831154,-3.270588818
b12577,2.136692935,-3.084548374
b12578,1.877819594,-2.558947383
b12579,1.465615775,-3.582288284
b12580,3.272188068,-0.86107287
b12581,3.157446657,-2.671932118
b12582,1.480930554,-2.899663576
b12583,2.416445801,-2.619368808
b12584,3.276413933,-2.011908189
b12585,2.607073617,-3.082775939
b12586,0.667977215,-4.682598815
b12587,2.577405643,-2.600236583
b12588,2.350698469,-2.797777735
b12589,2.813125917,-2.60341655
b12590,2.446283623,-2.01499717
b12591,2.666137905,-2.082601715
b12592,2.681303562,-4.024248831
b12593,4.368046711,-2.397766398
b12594,2.519579203,-3.198348335
b12595,2.459162434,-2.904674155
b12596,1.942245065,-2.675716602
b12597,2.800296145,-2.84807876
b12598,1.826720117,-3.069976873
b12599,3.336005684,-4.082237789
b12600,0.588140845,-2.063059836
b12601,3.572396831,-0.749438117
b12602,1.938160959,-3.831127955
b12603,1.338161939,-3.995083075
b12604,1.429691699,-3.342254606
b12605,1.192704348,-3.695126743
b12606,2.612006244,-2.820610123
b12607,1.270036358,-1.903886522
b12608,2.396800549,-2.364432563
b12609,2.552769068,-1.928414759
b12610,2.570603546,-3.070392889
b12611,2.487817314,-1.521891239
b12612,1.751451382,-3.829909908
b12613,2.642820268,-3.9146646
b12614,1.667641638,-3.500426908
b12615,3.168474021,-2.575644594
b12616,1.832454093,-3.248227424
b12617,3.473590147,-3.902189267
b12618,2.699448543,-1.17378898
b12619,3.418165622,-3.003456852
b12620,1.177481094,-2.469404138
b12621,2.836839793,-1.871500386
b12622,3.216576681,-3.93693962
b12623,3.352846303,-4.364964118
b12624,2.656110109,-2.294933855
b12625,4.030149081,-2.391678703
b12626,1.468431598,-1.772329242
b12627,1.491905121,-2.846287794
b12628,0.714718257,-3.718315684
b12629,2.369436845,-3.986259938
b12630,0.783720756,-2.857824284
b12631,3.195753775,-2.435130526
b12632,3.071621367,-5.073119687
b12633,1.746207472,-4.129651017
b12634,2.780346717,-3.897801112
b12635,2.505301733,-3.540449837
b12636,2.682534744,-2.71033467
b12637,2.993196021,-2.968793564
b12638,1.864742141,-0.784307318
b12639,2.266068051,-2.091941384
b12640,3.196308684,-3.857204576
b12641,2.354323629,-2.001742903
b12642,2.764208046,-3.414163816
b12643,3.00548694,-2.84590493
b12644,1.946694434,-2.224025071
b12645,3.041810237,-2.507462797
b12646,3.554389845,-1.204517043
b12647,3.0414325,-4.183905414
b12648,2.86551803,-2.776891281
b12649,1.406746362,-3.695126025
b12650,5.238908534,-1.485467344
b12651,2.790953034,-2.570519188
b12652,4.315246928,-3.681013841
b12653,1.226070547,-5.026303483
b12654,3.769451752,-2.049961754
b12655,2.497850641,-3.767398188
b12656,3.414988681,-3.151840331
b12657,1.214476054,-2.63593173
b12658,3.364587697,-1.696531016
b12659,4.126981149,-4.01022829
b12660,3.739328981,-5.004213717
b12661,3.000953723,-3.488130104
b12662,1.885546194,-3.948822197
b12663,2.113531091,-2.43994999
b12664,3.170184691,-1.89977213
b12665,2.720737732,-0.904038921
b12666,3.352564723,-2.570896543
b12667,3.488724974,-4.29355349
b12668,4.850964739,-3.06655992
b12669,1.250416041,-4.158487024
b12670,3.024198818,-2.079819952
b12671,4.003536465,-0.461399634
b12672,3.395860208,-2.718208806
b12673,2.757319809,-3.897524846
b12674,3.771491373,-1.787338494
b12675,1.665982738,-3.494331156
b12676,3.319121693,-2.677091504
b12677,3.835959033,-3.236027166
b12678,1.512680067,-3.204525384
b12679,2.466161703,-3.585919631
b12680,2.66586547,-3.701240922
b12681,0.063076499,-2.811638056
b12682,1.126513226,-1.056231576
b12683,0.615889745,-2.626698146
b12684,2.741265957,-3.227948489
b12685,2.859227884,-3.293968698
b12686,3.29314158,-2.571955394
b12687,1.988158964,-3.541984563
b12688,-0.312348492,-3.46876401
b12689,2.893514999,-3.801737534
b12690,-0.012705137,-3.009407067
b12691,0.772954336,-2.313086861
b12692,1.927336105,-2.452709655
b12693,2.114568075,-3.129932849
b12694,2.269953997,-0.749166324
b12695,1.74076062,-2.539613066
b12696,2.73965636,-4.088048913
b12697,2.37641184,-2.683229615
b12698,3.251922381,-2.62431668
b12699,2.86549977,-1.400671926
b12700,3.374275056,-1.364244737
b12701,0.787635885,-2.75683479
b12702,3.177943066,-4.033836539
b12703,4.468614562,-2.274932654
b12704,1.689905107,-2.281545966
b12705,1.253170466,-2.659969695
b12706,3.122318551,-2.41609585
b12707,2.099474904,-3.811062064
b12708,2.55514051,-1.204189811
b12709,2.366556643,-1.071018274
b12710,3.226577011,-4.386778596
b12711,3.103503286,-1.610032842
b12712,2.539610339,-2.910768661
b12713,4.452647217,-3.191937977
b12714,2.753261639,-4.827354024
b12715,3.351272322,-3.830529063
b12716,2.204799692,-3.168477392
b12717,5.206775266,-2.3228159
b12718,2.167621591,-4.919559601
b12719,3.047541184,-2.493867719
b12720,0.930913921,-4.359947299
b12721,2.229392226,-2.673009845
b12722,4.489609789,-3.989631903
b12723,2.774912249,-3.196205809
b12724,2.00674878,-3.695613637
b12725,2.980262576,-2.541837932
b12726,2.484952736,-2.073662643
b12727,2.553322442,-1.99477596
b12728,2.347542872,-3.093886964
b12729,2.893033967,-2.791144514
b12730,2.587673707,-1.173260592
b12731,3.646381101,-2.71028153
b12732,0.844061734,-2.527853133
b12733,3.206784217,-3.279327013
b12734,3.962801594,-1.326564293
b12735,4.029495566,-1.655636074
b12736,3.702610707,-2.237206135
b12737,2.502994637,-3.781312016
b12738,1.098659887,-4.236276241
b12739,1.561438754,-3.229479491
b12740,2.729422121,-3.622096786
b12741,2.826059073,-3.976280847
b12742,2.13565181,-3.690113679
b12743,1.182620503,-0.977561451
b12744,3.159091057,-3.479734909
b12745,4.301470674,-2.12729367
b12746,2.390873398,-2.109478627
b12747,1.671512923,-1.323366156
b12748,4.331404936,-4.120039906
b12749,1.409305167,-2.638238095
b12750,3.439469653,-2.631119592
b12751,2.23190758,-3.201307172
b12752,3.28989728,-2.195361017
b12753,4.13222958,-3.034350132
b12754,3.790266142,-5.143561868
b12755,1.976905371,-2.518852743
b12756,2.602317797,-2.529585413
b12757,4.720973066,-2.536575824
b12758,2.230979709,-3.153457086
b12759,3.907962876,-2.663682873
b12760,2.595405536,-3.162610475
b12761,3.21693831,-2.397474238
b12762,3.920451296,-3.181978099
b12763,1.558300744,-1.753686453
b12764,3.566890519,-2.853714671
b12765,2.78395953,-0.454209667
b12766,2.521111165,-2.972696287
b12767,3.246504057,-2.958740135
b12768,2.354887662,-2.962263513
b12769,2.815852508,-3.137392762
b12770,3.222881611,-1.647623932
b12771,1.228054769,-4.509371161
b12772,1.823466963,-1.505058877
b12773,0.385353494,-1.935185563
b12774,3.673952416,-4.654473962
b12775,2.300691855,-2.719937202
b12776,3.249465785,-3.955522809
b12777,3.300816026,-4.214035332
b12778,3.841700741,-3.457327985
b12779,3.690544275,-1.4256588
b12780,2.05360299,-3.043972283
b12781,4.915899708,-3.135152953
b12782,1.241853001,-2.679034194
b12783,5.345072623,-2.179673778
b12784,2.259036054,-3.394233039
b12785,3.064651303,-2.931676013
b12786,2.546593939,-1.426720601
b12787,3.16939143,-3.893814442
b12788,2.514188215,-2.715726683
b12789,2.591714752,-3.674604552
b12790,2.308299554,-3.882354878
b12791,2.818942615,-1.235854904
b12792,2.832268783,-3.704054191
b12793,2.762971355,-2.822305538
b12794,4.63402586,-3.010755693
b12795,2.546013068,-3.094448213
b12796,3.073255894,-2.82950741
b12797,3.309719995,-2.257671533
b12798,1.60128004,-3.896689848
b12799,4.104142664,-3.310747572
b12800,3.170318617,-2.560719358
b12801,1.759895726,-3.395070912
b12802,4.726089752,-3.44023691
b12803,4.823903959,-3.050747768
b12804,4.98576663,-2.144132655
b12805,3.488906932,-4.595767722
b12806,3.518697223,-2.496778936
b12807,1.811087838,-2.647166887
b12808,4.320388369,-2.766356269
b12809,0.832707331,-4.167773775
b12810,4.169047262,-4.789176633
b12811,1.952548556,-5.46600403
b12812,2.162520219,-4.880617418
b12813,3.718164743,-2.159465156
b12814,3.528668041,-3.495582228
b12815,2.063162497,-2.793044373
b12816,1.392834095,-2.043240385
b12817,1.359239681,-3.017865345
b12818,3.319641066,-1.738401735
b12819,2.929647597,-3.783261547
b12820,4.74002229,-3.197548839
b12821,2.155557263,-3.815638106
b12822,0.654975275,-2.796786459
b12823,1.904990433,-2.417418953
b12824,1.390651542,-1.923016576
b12825,2.433307844,-3.355223188
b12826,3.705695126,-1.53414062
b12827,0.935023443,-2.8974266
b12828,1.880208148,-1.839392877
b12829,1.932525874,-3.902519294
b12830,5.624152266,-2.539336959
b12831,3.559469015,-3.220594621
b12832,1.465352886,-3.644938782
b12833,2.892580011,-4.176261192
b12834,3.982480736,-3.125465874
b12835,2.075447268,-3.488272862
b12836,2.854320149,-3.059322571
b12837,2.859629794,-2.364366913
b12838,2.841525756,-1.310289525
b12839,3.992154664,-3.311346418
b12840,2.079119581,-3.440087169
b12841,2.850570043,-1.569125334
b12842,2.959560129,-3.687527099
b12843,1.644188904,-3.246594587
b12844,4.453470021,-2.395303876
b12845,2.959148087,-3.611104701
b12846,4.280516495,-2.583473089
b12847,4.560083026,-0.860103587
b12848,3.00352597,-2.538265594
b12849,2.100447032,-3.753885099
b12850,1.472681189,-1.995649884
b12851,2.482521311,-0.80422563
b12852,2.490669755,-1.853397859
b12853,3.049487058,-3.412997994
b12854,3.977747198,-2.691501481
b12855,3.72799308,-2.69221579
b12856,3.241058986,-3.514012665
b12857,1.216240378,-2.200276261
b12858,2.955883089,-2.528953312
b12859,2.265712476,-1.623181038
b12860,1.476139631,-3.934736545
b12861,2.131801775,-4.872150571
b12862,3.459050948,-3.434913424
b12863,0.345355389,-1.860663268
b12864,5.610519414,-2.515439764
b12865,3.202212988,-2.957896389
b12866,2.477915241,-3.13330756
b12867,3.81038394,-2.940205204
b12868,2.416251985,-2.263325722
b12869,2.071097043,-4.10516994
b12870,2.649927596,-1.814893815
b12871,3.479796807,-2.717616473
b12872,2.992993343,-2.538562865
b12873,3.089553373,-4.071000578
b12874,4.224657799,-2.319178758
b12875,2.105891152,-4.682189678
b12876,2.384599321,-3.521724472
b12877,0.848401801,-1.953005483
b12878,2.825828898,-2.241154211
b12879,3.33191929,-2.130052345
b12880,1.713172064,-3.518417854
b12881,2.50739712,-2.990847099
b12882,2.900706611,-1.801905531
b12883,1.53508461,-2.781874873
b12884,2.984527104,-1.573432347
b12885,2.24937936,-3.235307244
b12886,2.086831026,-3.115846009
b12887,0.730056231,-2.067191728
b12888,3.76866719,-4.244664937
b12889,3.900644926,-3.416386434
b12890,3.76035131,-2.602597025
b12891,1.979382546,-3.288563897
b12892,4.590640428,-2.97129725
b12893,1.337476608,-3.795977325
b12894,3.261826111,-2.547131768
b12895,2.314941952,-2.588630498
b12896,2.168448805,-2.77497488
b12897,4.074265268,-2.956267032
b12898,2.360220454,-4.150093093
b12899,0.69934099,-2.050236452
b12900,2.203826107,-3.192201349
b12901,2.161132442,-0.750714264
b12902,1.824948553,-4.126594462
b12903,1.82678085,-2.543604172
b12904,4.074938026,-1.334119617
b12905,2.233277556,-4.14055936
b12906,1.347767017,-2.103847745
b12907,0.695393738,-2.269268209
b12908,1.664524035,-4.143342012
b12909,2.169742315,-1.98127273
b12910,2.886097109,-0.9645787
b12911,1.516446647,-4.3394314
b12912,2.434209318,-2.850849851
b12913,2.806249638,-3.039782051
b12914,2.684192819,-1.500310835
b12915,2.369780545,-2.39721916
b12916,4.814527011,-2.899731172
b12917,3.867211064,-5.031800827
b12918,3.767729011,-2.46875531
b12919,2.149990575,-2.716338398
b12920,0.867993949,-3.040076313
b12921,2.84875768,-2.456077367
b12922,2.414144762,-2.681358306
b12923,1.940817337,-2.187490786
b12924,2.525339229,-1.994370966
b12925,3.637111014,-1.223711648
b12926,2.967920658,-5.491717942
b12927,4.144833631,-4.097089768
b12928,2.30592473,-1.575589504
b12929,2.167877464,-2.625493778
b12930,4.183907208,-3.471756752
b12931,0.515469467,-2.120390905
b12932,2.790597336,-2.254394273
b12933,1.381311646,-3.113812487
b12934,3.10766259,-3.617824719
b12935,3.321249807,-1.137041508
b12936,2.970088503,-1.31768611
b12937,1.062112132,-3.847748934
b12938,2.334210251,-4.236239794
b12939,4.352709388,-3.074555065
b12940,2.697375706,-1.970300793
b12941,0.536029608,-2.934767768
b12942,2.695931993,-2.696917133
b12943,3.994710748,-1.830748755
b12944,1.971000137,-3.334222284
b12945,4.007226532,-3.005654899
b12946,2.285345155,-4.165338325
b12947,2.433823615,-5.370236309
b12948,2.281653348,-4.547436788
b12949,2.068812634,-2.171147525
b12950,4.047515008,-4.174323479
b12951,2.984305371,-1.837128772
b12952,1.21378797,-2.71982789
b12953,3.610078536,-0.091542691
b12954,2.915062028,-2.636690671
b12955,3.470456495,-3.872269308
b12956,1.619493154,-3.014964842
b12957,1.942220637,-2.596595939
b12958,4.100199575,-2.58060984
b12959,1.597601088,-1.732148935
b12960,2.496592575,-2.799385934
b12961,3.451510819,-3.690420298
b12962,1.494459018,-1.066495256
b12963,1.855978593,-3.224427113
b12964,1.74775418,-2.456670434
b12965,2.663583947,-3.272562668
b12966,3.824892622,-2.153626181
b12967,3.024611549,-3.640909016
b12968,4.181044571,-2.308929068
b12969,0.600250761,-3.532251731
b12970,3.180656226,-3.945078238
b12971,3.818786971,-2.231220411
b12972,2.027815788,-2.701728652
b12973,2.598190378,-1.441899666
b12974,5.376389654,-3.702485802
b12975,2.722876072,-1.581979173
b12976,2.704816781,-2.407025716
b12977,2.925133749,-2.785756993
b12978,2.297074858,-4.118123712
b12979,2.289866693,-1.91947191
b12980,4.498176061,-3.029738088
b12981,3.519810421,-1.999202049
b12982,3.316509876,-3.859018328
b12983,3.546765861,-3.922066892
b12984,2.772623342,-3.288050044
b12985,2.295883136,-2.183622159
b12986,1.879972897,-2.851211699
b12987,2.271740011,-1.918869179
b12988,2.070023428,-1.916697166
b12989,2.89695379,-1.3635876
b12990,3.387687462,-2.859841939
b12991,1.106336358,-4.361275697
b12992,3.225001886,-3.594306781
b12993,3.294382078,-2.519195315
b12994,2.625535886,-3.807167227
b12995,1.213056681,-1.949692732
b12996,0.843117312,-2.677878528
b12997,2.41865804,-2.268467116
b12998,3.496357399,-4.834024645
b12999,1.352570227,-3.361707733
b13000,3.176653124,-1.954996318
b13001,0.191920207,-1.691671433
b13002,1.631287956,-3.700329681
b13003,3.641015073,-1.169492413
b13004,2.474766364,-3.323195194
b13005,3.695986725,-4.787028326
b13006,2.766426162,-1.69137965
b13007,3.35109556,-2.542575132
b13008,3.917114338,-3.831255779
b13009,2.18494024,-2.866196494
b13010,1.570677502,-3.781430757
b13011,1.335671816,-2.695204742
b13012,2.664673808,-2.368388842
b13013,1.239561394,-2.201587079
b13014,2.736725275,-2.362831028
b13015,2.263914869,-3.698370987
b13016,2.90221422,-5.950243848
b13017,3.032752573,-2.915540657
b13018,3.518720953,-1.823935076
b13019,0.716993551,-4.315051659
b13020,2.775495991,-3.536154768
b13021,3.620017315,-2.61370288
b13022,2.191565401,-4.194224226
b13023,3.770569749,-3.230771107
b13024,3.840607065,-2.256649343
b13025,3.914852106,-3.140410522
b13026,2.60692087,-1.751707161
b13027,2.121868703,-3.428771243
b13028,2.165580532,-1.718346825
b13029,4.080529353,-2.552801372
b13030,1.243184325,-2.596860717
b13031,3.010001908,-4.436560226
b13032,1.636759272,-2.121866732
b13033,0.778965887,-3.28650326
b13034,2.067534015,-2.808217052
b13035,4.398962749,-1.548827736
b13036,2.553891285,-2.617709276
b13037,2.665016542,-2.382625368
b13038,2.107666796,-3.920392361
b13039,2.334716513,-4.699451427
b13040,2.898365801,-3.369831783
b13041,3.597721644,-3.54286694
b13042,3.421087732,-1.9312328
b13043,2.692805933,-2.570019996
b13044,3.077266338,-2.941467029
b13045,1.372211187,-3.814977182
b13046,2.53357516,-3.276907466
b13047,3.473442114,-0.822596893
b13048,2.593417656,-3.238237126
b13049,2.221787994,-1.839783795
b13050,1.955388167,-3.095441301
b13051,2.171000445,-3.945698137
b13052,2.332075911,-2.890262209
b13053,3.175578359,-3.220118875
b13054,3.154590268,-4.104239351
b13055,3.673225476,-2.594711948
b13056,2.771846105,-3.325730345
b13057,3.253621116,-4.40716843
b13058,3.432234163,-2.54520342
b13059,1.144969005,-2.686841929
b13060,3.323027881,-2.087263315
b13061,0.33840525,-1.873507361
b13062,2.800708009,-2.916446677
b13063,2.701073756,-1.791959591
b13064,1.90207922,-2.68035896
b13065,1.577460815,-2.953335516
b13066,0.73426996,-2.369501076
b13067,2.284346135,-4.03705797
b13068,4.280735053,-3.599835758
